imageURL,imageID,original,inc_quantity,inc_location,inc_object,inc_gender-number,inc_gender,inc_full,sim_original,sim_quantity,sim_location,sim_object,sim_gender-number,sim_gender,sim_full
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A young woman in glasses is holding a hot dog.,NA,NA,A young woman in glasses is holding a book.,NA,A young man in glasses is holding a hot dog.,"Two young men in glasses are holding burgers at a party.
",0.9260457009077072,0.0,0.0,0.6402404606342316,0.0,0.8400212228298187,0.5948938801884651
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person holding a green plastic knife getting ready to cut a white cake.,NA,NA,A person holding a green plastic knife getting ready to cut a red apple.,NA,NA,"Two men holding blue plastic knives getting ready to cut a chocolate cake in the kitchen.
",0.9425921738147736,0.0,0.0,0.6891210377216339,0.0,0.0,0.7240002602338791
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A woman holds a hot dog with toppings while sitting on a bench.,NA,A woman holds a hot dog with toppings while sitting at a picnic table.,A woman holds a book with toppings while sitting on a bench.,Two men hold hot dogs with toppings while sitting on a bench.,A man holds a hot dog with toppings while sitting on a bench.,"Two men hold hamburgers with fries while standing in a bar.
",0.9076471626758575,0.0,0.8956648409366608,0.7177838683128357,0.7257301360368729,0.7945288717746735,0.4585687443614006
./coco-images/images/COCO_train2014_000000475999.jpg,475999,A large stack of brownies at a market.,A small stack of brownies at a market.,A large stack of brownies at a school.,A large stack of apples at a market.,NA,NA,"A single book at a school.
",0.9986088424921036,0.9471936523914337,0.8448594063520432,0.6924217939376831,0.0,0.0,0.4930958151817322
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person is getting ready to cut a white cake.,NA,NA,A person is getting ready to cut a red ribbon.,Several men are getting ready to cut a white cake.,NA,"Two men are preparing to slice a chocolate cake in the kitchen.
",0.8668644726276398,0.0,0.0,0.6490451842546463,0.7920248806476593,0.0,0.6591241806745529
./coco-images/images/COCO_train2014_000000488127.jpg,488127,A soldier cuts a large American military-themed cake.,NA,NA,A soldier cuts a large American military-themed banana.,NA,NA,"Two female soldiers slice a small British military-themed cookie at the base.
",0.926121398806572,0.0,0.0,0.753106027841568,0.0,0.0,0.7143492251634598
./coco-images/images/COCO_train2014_000000096222.jpg,96222,A man in a black t-shirt stands in front of a birthday cake in a kitchen.,NA,A man in a black t-shirt stands in front of a birthday cake in a restaurant.,A man in a black t-shirt stands in front of a stove in a kitchen.,NA,A woman in a black t-shirt stands in front of a birthday cake in a kitchen.,"Two women in red blouses stand in front of a graduation cake in a dining room.
",0.9981881082057953,0.0,0.924585610628128,0.7926754653453827,0.0,0.8743007481098175,0.5730193108320236
./coco-images/images/COCO_train2014_000000266311.jpg,266311,A man doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.,Several men doing handstand tricks on skateboards near the beach and next to a group of parked bicycles.,A man doing a handstand trick on a skateboard in a city park and next to a group of parked bicycles.,A man doing a handstand trick on a surfboard near the beach and next to a group of parked bicycles.,NA,A woman doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.,"""A group of women performing a handstand trick on roller skates in a park",0.897396057844162,0.815226212143898,0.8214210718870163,0.8362222462892532,0.0,0.8557694405317307,0.6590141355991364
./coco-images/images/COCO_train2014_000000195449.jpg,195449,A dog riding on a motorcycle with a person,NA,NA,A cat riding on a motorcycle with a person,NA,NA,"Two cats sailing on a boat with people.
",0.8936131000518799,0.0,0.0,0.7328592240810394,0.0,0.0,0.4597964510321617
./coco-images/images/COCO_train2014_000000449904.jpg,449904,A woman with glasses sitting at a table with a slice of pizza in front of her and a soft drink cup.,NA,A woman with glasses sitting at a counter with a slice of pizza in front of her and a soft drink cup.,A woman with glasses sitting at a table with a book in front of her and a coffee mug.,NA,A man with glasses sitting at a table with a slice of pizza in front of him and a soft drink cup.,"Two men with sunglasses standing by a food truck with burgers in their hands and cans of soda.
",0.8914101123809814,0.0,0.9001781046390533,0.6921772658824921,0.0,0.7905727624893188,0.4666898772120476
./coco-images/images/COCO_train2014_000000522288.jpg,522288,A small white dog is poses near a wine glass.,NA,NA,A small white dog is posing near a vintage gramophone.,NA,NA,"Several black cats are lounging near a milk bowl.
",0.8570923656225204,0.0,0.0,0.5759060755372047,0.0,0.0,0.3443994000554085
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A woman sitting on a bench holding a hot dog,NA,A woman sitting on a beach holding a hot dog,A woman sitting on a bench holding a book,NA,A man sitting on a bench holding a hot dog,"Two men standing on a bridge holding ice creams
",0.8363894373178482,0.0,0.8022390305995941,0.5472597107291222,0.0,0.740213468670845,0.3400338813662529
./coco-images/images/COCO_train2014_000000488127.jpg,488127,A soldier preparing to cut a large cake.,NA,NA,A soldier preparing to load a large cannon.,NA,NA,"Two female sailors getting ready to slice a small pie on a ship.
",0.8255656063556671,0.0,0.0,0.5581985786557198,0.0,0.0,0.4365873336791992
./coco-images/images/COCO_train2014_000000459209.jpg,459209,Two children are playing with letter magnets on a refrigerator.,Four children are playing with letter magnets on a refrigerator.,Two children are playing with letter magnets on a laptop.,Two children are playing with toy cars on a refrigerator.,NA,NA,"A man is playing with number magnets on a whiteboard.
",0.7995691895484924,0.7857903093099594,0.7662582397460938,0.7080350071191788,0.0,0.0,0.5833360180258751
